Léza Rabe
Jean Cultamaire
Sam Gratlékouy
Théo Tiste
Sally Migré 
Samy Ritleku
Jade Oritler
Jean Kulki
Jenny Ketamer
Teddy Sponible
Jean Voilespairm
Sam Fébander
Dwate Moalku
César Habe
Gérard Manjoui
Lénai Gro
Chkif Lémineur 
Chkif Létéroriste
Amor Lénigueure 
Jossuira Siste 
Lache Oha
Boufmonchi Brax
Lena Zie
Lefu Reur
Muce Au Lit Nie
Abou Nioule
Shuio Mofobe 
Shuimizo Gine
Shuira Siste 
Shuian Tissémite 
Temerlassa Lope
Tamerl Aputte
Tamerl Achiène
Mamerlassa Lope
Mamerl Aputte 
Mamerl Achiène 
Jay Labarre
Adolfisse Uranalle
